Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.9596983879355174,0.8698795180722891,0.6385613207547169,0.736484189051343,0.9598934872624829,0.8173652026697775
Decision Tree,0.9484139365574623,0.6944751381215469,0.7411556603773585,0.7170564746149458,0.8557586096877011,0.5389514195570723
Random Forest,0.96931877275091,0.9495934959349593,0.6886792452830188,0.7983595352016405,0.9592364248920157,0.8520981997015193
KNN,0.9597503900156006,0.8913412563667232,0.6191037735849056,0.7306889352818372,0.9004291830050941,0.7431591805480877
Gradient Boosting,0.9717108684347374,0.9873096446700508,0.6880896226415094,0.8109798471160529,0.9773964088100532,0.8841037369994121
