Model,Accuracy,Precision,Recall,F1,ROC-AUC
Original Gradient Boosting,0.9717108684347374,0.9873096446700508,0.6880896226415094,0.8109798471160529,0.9773964088100532
Tuned Gradient Boosting,0.9718148725949038,0.988155668358714,0.6886792452830188,0.8116747741487144,0.9774575097761546
