Threshold,Precision,Recall,F1
0.1,0.4957956015523933,0.9038915094339622,0.6403508771929824
0.15000000000000002,0.6176344086021506,0.8466981132075472,0.714250186520766
0.20000000000000004,0.7104851330203443,0.8030660377358491,0.7539440907832826
0.25000000000000006,0.7984019668100799,0.7659198113207547,0.7818236533253085
0.30000000000000004,0.863013698630137,0.7429245283018868,0.7984790874524715
0.3500000000000001,0.9134973900074571,0.7222877358490566,0.8067171550872572
0.40000000000000013,0.9435294117647058,0.7093160377358491,0.8098283406260518
0.45000000000000007,0.9776304888152444,0.6957547169811321,0.8129521184981054
0.5000000000000001,0.988155668358714,0.6886792452830188,0.8116747741487144
0.5500000000000002,0.9957118353344768,0.6845518867924528,0.8113207547169812
0.6000000000000002,0.998272884283247,0.6816037735849056,0.8100911002102312
0.6500000000000001,0.9991319444444444,0.6786556603773585,0.8082865168539326
0.7000000000000002,1.0,0.6786556603773585,0.8085704250087812
0.7500000000000002,1.0,0.6780660377358491,0.8081517919887562
0.8000000000000002,1.0,0.6780660377358491,0.8081517919887562
0.8500000000000002,1.0,0.6780660377358491,0.8081517919887562
0.9000000000000002,1.0,0.6780660377358491,0.8081517919887562
